Source,Target,Weight
Mr Hi,2,2
Mr Hi,3,1
Mr Hi,4,1
Mr Hi,5,1
Mr Hi,6,5
Mr Hi,7,1
Mr Hi,8,1
Mr Hi,9,1
Mr Hi,11,1
Mr Hi,12,1
Mr Hi,13,7
Mr Hi,14,1
Mr Hi,18,1
Mr Hi,20,1
Mr Hi,22,2
Mr Hi,32,1
2,3,1
2,4,1
2,8,5
2,14,1
2,18,1
2,20,1
2,22,9
2,31,1
3,4,2
3,8,1
3,9,1
3,10,3
3,14,1
3,28,1
3,29,1
3,33,1
4,8,3
4,13,1
4,14,10
5,7,1
5,11,1
6,7,1
6,11,1
6,17,15
7,17,1
9,31,1
9,33,1
9,John A,1
10,John A,1
14,John A,1
15,33,1
15,John A,1
16,33,2
16,John A,1
19,33,1
19,John A,1
20,John A,1
21,33,2
21,John A,1
23,33,1
23,John A,1
24,26,1
24,28,1
24,30,1
24,33,1
24,John A,1
25,26,1
25,28,1
25,32,1
26,32,1
27,30,2
27,John A,1
28,John A,1
29,32,1
29,John A,1
30,33,1
30,John A,2
31,33,1
31,John A,1
32,33,1
32,John A,2
33,John A,1
